artikelnummer,typicality,
7159127,0.27348164,
7159129,0.30852583,
7159136,0.3169151,
7159137,0.37969917,
7159140,0.19305888,
7159148,0.31595576,
7159150,0.3071304,
7159151,0.2652765,
7159152,0.255863,
7159153,0.20391798,
7159154,0.2355022,
7159156,0.3177422,
7159160,0.34666643,
7159162,0.396654,
7159164,0.20783421,
7159177,0.207543,
7159191,0.24675803,
7159980,0.76947427,
7159981,0.84612495,
7160088,0.7680373,
7160178,0.5059446,
7160209,0.9017659,
7160259,0.8728735,
7160390,0.8565724,
7160454,0.79964674,
7160464,0.8087052,
7160466,0.90083826,
7160475,0.8172311,
7160514,0.840778,
7160516,0.8346621,
7160517,0.8176231,
7160518,0.79549396,
7160519,0.8665169,
7160548,0.9192534,
7160593,0.31093577,
7160595,0.30271205,
7160670,0.6070494,
7161467,0.67978084,
7161468,0.8236996,
7161469,0.75733346,
7161470,0.649556,
7161471,0.5569462,
7161472,0.50878876,
7161473,0.36073014,
7161474,0.3904472,
7161475,0.5411871,
7161714,0.7564415,
7161715,0.74537843,
7161716,0.7949459,
7161789,0.82167566,
7161848,0.47871476,
7161849,0.4326743,
7161869,0.41334787,
7161915,0.885329,
7161918,0.864445,
7162301,0.6833491,
7162305,0.72781384,
7162332,0.80253124,
7162335,0.83392316,
7162336,0.81308705,
7162430,0.8475355,
7162592,0.7317773,
7162605,0.8721982,
7162850,0.7123853,
7162853,0.76910716,
7162865,0.771299,
7162867,0.7201918,
7162889,0.6445569,
7162890,0.70413876,
7162916,0.72442245,
7162953,0.72554094,
7165410,0.8226385,
7165411,0.91226584,
7166431,0.21889499,
7168506,0.8497277,
7168507,0.8759471,
7168508,0.8760426,
7168509,0.79865867,
7168510,0.7904723,
7170251,0.5989757,
7170252,0.5398858,
7170253,0.54838246,
7170254,0.5021593,
7171716,0.8092767,
7171717,0.8379646,
7171719,0.7547914,
7171723,0.65531135,
7174979,0.79907936,
7174980,0.75895643,
7174999,0.837326,
7175000,0.70982814,
7175001,0.7005347,
7175002,0.7084555,
7175003,0.5089871,
7175004,0.67056876,
7175528,0.66521263,
7175550,0.7598371,
7175652,0.80570555,
7175653,0.7878908,
7175654,0.79934025,
7175659,0.7000704,
7176189,0.62324387,
7176346,0.9026642,
7176352,0.78057235,
7176353,0.74105513,
7176355,0.8277572,
7176467,0.69279563,
7176470,0.9172802,
7177126,0.8836482,
7177375,0.6787178,
7177501,0.90309453,
7177503,0.7461022,
7177507,0.71058786,
7178496,0.9064757,
7178497,0.75937974,
7178498,0.8777156,
7178499,0.8616194,
7178500,0.83673203,
7178501,0.85056996,
7178502,0.81639266,
7178504,0.8572744,
7178506,0.743355,
7178507,0.7115134,
7178508,0.7781196,
7178509,0.6584037,
7178510,0.5961587,
7178511,0.89994556,
7178512,0.8736638,
7178513,0.8134285,
7178514,0.7655149,
7178515,0.5646693,
7178516,0.6298464,
7178517,0.7992048,
7178518,0.7157769,
7178521,0.5757546,
7178522,0.71000946,
7178525,0.6866076,
7178588,0.8502626,
7178589,0.8386309,
7178590,0.8719609,
7178591,0.83871484,
7178592,0.8434006,
7178593,0.8511206,
7178594,0.84792596,
7178595,0.79307014,
7178596,0.8600837,
