artikelnummer,image_name,typicality
6858975,6858975_1.jpg,0.80738455
6858976,6858976_1.jpg,0.84865505
6858977,6858977_1.jpg,0.8204126
6858978,6858978_1.jpg,0.851942
7234941,7234941_1.jpg,0.8916987
7234940,7234940_1.jpg,0.8751785
6863518,6863518_1.jpg,0.92327905
6863521,6863521_1.jpg,0.90188515
6869247,6869247_1.jpg,0.69874245
6869297,6869297_1.jpg,0.82321745
6869298,6869298_1.jpg,0.82621807
6869299,6869299_1.jpg,0.8098692
6949258,6949258_1.jpg,0.8169621
6949259,6949259_1.jpg,0.85524994
6939896,6939896_1.jpg,0.8046863
7427293,7427293_1.jpg,0.9073013
7430495,7430495_1.jpg,0.8320375
6879374,6879374_1.jpg,0.8045384
6879396,6879396_1.jpg,0.7302082
6879404,6879404_1.jpg,0.79840744
6879751,6879751_1.jpg,0.2013633
6883687,6883687_1.jpg,0.51135933
6883688,6883688_1.jpg,0.6107839
6883689,6883689_1.jpg,0.73418933
6883690,6883690_1.jpg,0.7099621
6886381,6886381_1.jpg,0.5113072
6886385,6886385_1.jpg,0.5192161
6886386,6886386_1.jpg,0.52383286
6890681,6890681_1.jpg,0.70216185
6892590,6892590_1.jpg,0.8467244
6892593,6892593_1.jpg,0.8356216
6892594,6892594_1.jpg,0.785612
6892596,6892596_1.jpg,0.7736053
6892597,6892597_1.jpg,0.7394583
6892598,6892598_1.jpg,0.61653495
6894173,6894173_1.jpg,0.8344852
6894174,6894174_1.jpg,0.8100306
6949364,6949364_1.jpg,0.79005873
6949365,6949365_1.jpg,0.89546305
6949844,6949844_1.jpg,0.77721685
6949845,6949845_1.jpg,0.74548745
6949846,6949846_1.jpg,0.88147783
6955908,6955908_1.jpg,0.8283981
6965169,6965169_1.jpg,0.8616526
6965170,6965170_1.jpg,0.81903255
6965837,6965837_1.jpg,0.89780974
6968452,6968452_1.jpg,0.4788828
6968453,6968453_1.jpg,0.6723813
6970339,6970339_1.jpg,0.5519668
6970340,6970340_1.jpg,0.6739852
6970341,6970341_1.jpg,0.5886323
6970355,6970355_1.jpg,0.82540244
6970431,6970431_1.jpg,0.8318497
6970462,6970462_1.jpg,0.9169895
6970463,6970463_1.jpg,0.92139375
6972469,6972469_1.jpg,0.84055823
6972470,6972470_1.jpg,0.9074765
6972520,6972520_1.jpg,0.90772325
6974401,6974401_1.jpg,0.6979491
6976333,6976333_1.jpg,0.88894236
6976334,6976334_1.jpg,0.8012425
6976338,6976338_1.jpg,0.87966365
6978929,6978929_1.jpg,0.5976806
6980987,6980987_1.jpg,0.93210125
6984191,6984191_1.jpg,0.22258797
6984192,6984192_1.jpg,0.2451362
6984193,6984193_1.jpg,0.2526076
6984194,6984194_1.jpg,0.27277753
6986785,6986785_1.jpg,0.8449048
6986803,6986803_1.jpg,0.8202999
6988372,6988372_1.jpg,0.5999572
6989102,6989102_1.jpg,0.85914284
6989103,6989103_1.jpg,0.82560366
6990663,6990663_1.jpg,0.49231175
6990664,6990664_1.jpg,0.49562198
6992122,6992122_1.jpg,0.8014714
6992965,6992965_1.jpg,0.8339307
6992964,6992964_1.jpg,0.8461044
6992966,6992966_1.jpg,0.81638026
6992970,6992970_1.jpg,0.8542951
6993398,6993398_1.jpg,0.8859435
6993402,6993402_1.jpg,0.8403311
6994491,6994491_1.jpg,0.8031
6994492,6994492_1.jpg,0.87116224
6994493,6994493_1.jpg,0.8858634
6994494,6994494_1.jpg,0.8375814
6994495,6994495_1.jpg,0.83008343
6994500,6994500_1.jpg,0.881935
6994501,6994501_1.jpg,0.8689327
6994502,6994502_1.jpg,0.8564383
6994503,6994503_1.jpg,0.8530331
6994504,6994504_1.jpg,0.8940305
6994505,6994505_1.jpg,0.780559
6994507,6994507_1.jpg,0.7641386
6994508,6994508_1.jpg,0.726866
6994513,6994513_1.jpg,0.72417104
7383928,7383928_1.jpg,0.9223762
7312842,7312842_1.jpg,0.6970945
7001949,7001949_1.jpg,0.52131885
7003975,7003975_1.jpg,0.48611042
7001953,7001953_1.jpg,0.82156247
7003977,7003977_1.jpg,0.79860395
7002319,7002319_1.jpg,0.70262825
7002322,7002322_1.jpg,0.8986759
7002323,7002323_1.jpg,0.7960306
7002553,7002553_1.jpg,0.73224515
7002554,7002554_1.jpg,0.673009
7002555,7002555_1.jpg,0.76937217
7005957,7005957_1.jpg,0.52580726
7006733,7006733_1.jpg,0.90760183
7006736,7006736_1.jpg,0.8828052
7008747,7008747_1.jpg,0.41937566
7008748,7008748_1.jpg,0.39212897
7042166,7042166_1.jpg,0.8044816
7042167,7042167_1.jpg,0.7367275
7042168,7042168_1.jpg,0.7463908
7252665,7252665_1.jpg,0.7979748
7325698,7325698_1.jpg,0.81463015
7252666,7252666_1.jpg,0.83799815
7020209,7020209_1.jpg,0.42561278
7022660,7022660_1.jpg,0.8184963
7068962,7068962_1.jpg,0.90139097
7068963,7068963_1.jpg,0.90139097
7068969,7068969_1.jpg,0.87709
7068970,7068970_1.jpg,0.87709
7154586,7154586_1.jpg,0.9041731
7154588,7154588_1.jpg,0.9041731
